page_url,drug_name,price,description,rating,num_of_reviews
www.proficosmetics.ru/catalog/830069/,Концентрат с гликолевой кислотой для лица 30 мл,941,"Концентрат с гликолевой кислотой Soin Acide Glycolique. Революционный состав сыворотки, воздействуя на архитектуру дермы, активируя выработку коллагена и эластина, эффективно улучшает тургор, увлажненность кожи, способствует коррекции овала лица. Позволяет проработать как поверхностные, так и более...                             ",4.67,6
www.proficosmetics.ru/catalog/71640/,"Концентрат гиалуроновая кислота 100%, интенсивное увлажнение / HYALURON COMPLEX 25 мл",1890,"Концентрат обладает идеальными гидратирующими свойствами, обеспечивая двойной эффект увлажнения — изнутри и снаружи. Обладает аnti-age действием, улучшает цвет лица, уменьшает морщины, повышает плотность и тонус кожи. Секрет эффективности сыворотки в её составе. Концентрат...                             ",4.68,60
www.proficosmetics.ru/catalog/74852/,"Сыворотка увлажняющая лифтинговая для лица и век, Гиалуроновая кислота + Экстракт микроводоросли / HYALURON COMPLEX 25 мл",1723,"Концентрат обладает эффективным лифтинговым действием, делает кожу подтянутой и упругой. Сыворотка для ухода за кожей лица и век не содержит геле образователей, легко впитывается, дарит коже гладкость и увлажненность, здоровое сияние и ровный цвет лица. Экстракт...                             ",4.75,30
www.proficosmetics.ru/catalog/74387/,"Сыворотка увлажняющая интенсивная от морщин, Гиалуроновая кислота + Эластин / HYALURON COMPLEX 25 мл",1890,"Концентрат способствует удержанию влаги в клетках кожи, повышает плотность и эластичность кожи. Эластин разглаживает мелкие морщинки и играет важную роль в профилактике старения кожи после 30 лет. Средство не содержит геле образователей, легко впитывается, наполняет...                             ",4.38,24
www.proficosmetics.ru/catalog/966836/,"Лифтинг-сыворотка уплотняющая, интенсивное действие от морщин для лица 24 часа, концентрат ПЕПТИДЫ & КОЛЛАГЕН & ГИАЛУРОНОВАЯ КИСЛОТА & КРЕМНИЙ 20 мл",1800,"Концентрат для регенерации и уплотнения кожи предупреждает сухость кожи, сокращает морщины, повышает плотность и гладкость кожи, укрепляет овал лица. Сыворотка не содержит геле образователей, легко впитывается. Секрет эффективности сыворотки в её составе. В основе...                             ",5.0,1
www.proficosmetics.ru/catalog/966837/,"Концентрат лифтинговый для лица с ДМАЕ, пептидами, кремнием, гиалуроновой кислотой, олигомерами / HYALURON & SILIZIUM COMPLEX 20 мл",1800,"Концентрат для лифтинга и регенерации кожи, помогает подтягивать и разглаживать кожу, укреплять овал лиц. Сыворотка не содержит геле образователей, легко впитывается, дарит коже гладкость и увлажненность. Секрет эффективности сыворотки в её составе. Гексапептиды и пентапептиды способствуют...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/76273/,"Концентрат омолаживающий, Гиалуроновая кислота + Экстракт икры / HYALURON COMPLEX 25 мл",1935,"Аnti-age концентрат для интенсивного питания кожи лица, шеи и зоны декольте способствует удержанию влаги в клетках кожи, предупреждает сухость и обезвоженность кожи. Экстракт икры богат белками, жирными кислотами, минералами и витаминами и способствует активному омоложению...                             ",5.0,3
www.proficosmetics.ru/catalog/26382/,Концентрат Гель гиалуроновой кислоты 10*2 мл,521,"Гель гиалуроновой кислоты для сухой, атоничной, обезвоженной кожи. Гиалуроновая кислота - естественный компонент кожи, поддерживающий нормальный водный баланс. Гиалуроновая кислота формирует на поверхности кожи тонкую непрерывную пленку, сохраняющую естественную влажность кожи, не нарушая газообмен...                             ",4.83,12
www.proficosmetics.ru/catalog/966834/,Концентрат гиалуроновый интенсивное увлажнение 24 часа для лица ГИАЛУРОНОВАЯ КИСЛОТА & КРЕМНИЙ 25 мл,1800,"Гиалуроновая концентрированная сыворотка для всех типов кожи с ионами кремния. Обладает пролонгированным увлажняющим действием, предупреждает сухость кожи и образование морщин, улучшает цвет лица, восстанавливает тонус кожи, укрепляет эпидермис, замедляет появление возрастных изменений....                             ",4.0,2
www.proficosmetics.ru/catalog/76270/,Концентрат для кожи с акне с гиалуроновой кислотой и комплексом себорегуляторов / HYALURON COMPLEX 20 мл,1633,"Сыворотка для балансирующего ухода за кожей склонной к появлению акне. Эффективно ухаживает за жирной и комбинированной кожей, нормализует выделение кожного сала сокращает количество комедонов и черных точек. Обладает антибактериальным действием, устраняет застойные явления...                             ",5.0,2
www.proficosmetics.ru/catalog/102816/,"Сыворотка гиалуроновая, увлажняющий концентрат для кожи склонной к куперозу / HYALURON & PHYTO STEM CELL COMPLEX 2*15 мл",1716,"Гиалуроновая сыворотка нормализует водный баланс, уменьшает проявления купероза, бережно ухаживает за гиперчувствительной и реактивной кожей, активизирует регенерацию клеток, уменьшает красноту кожи. В основе сыворотки активные ингредиенты натурального происхождения, экстракт клеток...                             ",4.75,4
www.proficosmetics.ru/catalog/98752/,Концентрат ультраувлажняющий с гиалуроновой кислотой и хитозаном / HYALURON COMPLEX 25 мл,1701,"Сыворотка нормализует водный баланс, предупреждает сухость кожи и образование морщин, улучшает цвет лица, активизирует регенерацию клеток. Хитозан обладает успокаивающим и восстанавливающим действием, помогает в заживлении микроповреждений кожи, устраняет шелушение и чувство...                             ",4.78,9
