page_url,drug_name,price,description,rating,num_of_reviews
www.proficosmetics.ru/catalog/70747/,Крем нормализующий жирность кожи / Skin Normalizing Treatment Cream 50 мл,3050,"Крем Declare Skin Normalizing Treatment Cream нормализующий жирность кожи - эксклюзивное средство для предотвращения закупорки пор и сокращения избыточной секреции сальных желез. Крем Декларе Скин Нормализинг Трейтмент оказывает очищающее и противовоспалительное действие, предотвращает рост...                             ",5.0,1
www.proficosmetics.ru/catalog/134302/,Тоник для нормальной и комбинированной кожи лица / COMBI TONER 400 мл,1835,"Тоник для нормальной и комбинированной кожи лица COMBI TONER - очищающий тоник улучшает общее состояние кожи и восстанавливает природное равновесие: сужает поры, уменьшает сальность Т-зоны и восстанавливает водный баланс кожи. 1. Комплекс для ухода за себорейной кожей нормализует выработку кожного...                             ",5.0,5
www.proficosmetics.ru/catalog/89048/,Пенка очищающая для всех типов кожи / PURE SKIN 160 мл,602,"Мягкое очищающее средство с нежной пенной текстурой. Бережно, но эффективно очищает кожу, устраняя загрязнения с ее поверхности. Способствует восстановлению кожи, успокаивает раздражения и покраснения. Не сушит кожу и не разрушает гидролипидный слой. Пенка обладает успокаивающим и заживляющим...                             ",4.82,95
www.proficosmetics.ru/catalog/111697/,Фитотоник / Slim 270 мл,1510,"Гипоаллергенный тоник с комплексом растительных экстрактов, оказывающих противовоспалительное и себостатическое действие. Освежает. Тонизирует. Нормализует рН-баланс кожи. Предотвращает появление воспалительных элементов. Благотворно влияет на обмен липидов и иммунный статус кожи. Активные...                             ",5.0,9
www.proficosmetics.ru/catalog/116528/,Гель балансирующий рН 5.5 50 мл,1600,"Гель обеспечивает правильный уход за жирной/проблемной кожей. Экстракты плюща и ромашки уменьшают выработку себума. Эфирное масло чайного дерева оказывает выраженное бактерицидное действие. Азелаиновая кислота стимулирует процессы клеточного обновления, нормализует баланс и купирует воспалительный...                             ",4.76,31
www.proficosmetics.ru/catalog/25626/,Маска грязевая / Mud Mask For Oil Skin SOLAR ENERGY 75 мл,3090,"Этот продукт уникален по составу и производимому на кожу эффекту и широко используется не только косметологами, но и дерматологами, в частности, для лечения демодекоза. Благодаря уникальному составу и свойствам маска является панацеей от вечных бед:...                             ",4.73,84
www.proficosmetics.ru/catalog/134265/,Маска себорегулирующая для лица / LUSTER CONTROL MASK 50 мл,1565,"Маска себорегулирующая для лица LUSTER: CONTROL MASK с насыщенной кремовой текстурой и высоким содержанием адсорбирующих компонентов обладает матирующими, себорегулирующими и успокаивающими свойствами. Поддерживает оптимальный уровень увлажнения, восстанавливает защитные функции кожи, препятствует...                             ",5.0,2
www.proficosmetics.ru/catalog/147536/,Паста хлорофилл-каротиновая для лица / Homework 50 мл ,1055,"Паста хлорофилл-каротиновая для лица Homework - препарат для комплексной коррекции угревых высыпаний. Уход за жирной кожей, осложненной угревой сыпью, в т.ч.с таким явлением постакне как застойные пятна (последствие перенесенного акне). Снижает секрецию кожного сала. Устраняет сальные пробки и...                             ",4.33,6
www.proficosmetics.ru/catalog/127507/,Крем-гель с охлаждающим эффектом / Anti-acne Homework 50 мл,1015,"Средство ухода за жирной кожей в дневное время для коррекции и профилактики акне. Крем-гель снимает воспаление, способствует сужению пор, рассасыванию застойных пятен, снижает уровень и темп секреции кожного сала. Устраняет покраснения, сальные пробки, матирует кожу. Оказывает выраженное...                             ",4.75,8
www.proficosmetics.ru/catalog/87069/,Гель-скраб для лица / EXPERT PURE GEL EXFOLIANT 75 мл ,595,"Очищающий гель-скраб  придает коже ощущение чистоты и свежести. Благодаря натуральным микрогранулам обновляет кожу, удаляя ороговевшие клетки и загрязнения. Эффективно борется с «чёрными точками», сокращает поры и контролирует выделение кожного себума. Благодаря экстракту сока Нони...                             ",5.0,7
www.proficosmetics.ru/catalog/28084/,Лосьон для растворения закрытых комедонов / Super Lotion LOTIONS 250 мл,3420,"Бесспиртовой лосьон для размягчения и растворения открытых и закрытых комедонов, выравнивания поверхности и облегчения процедуры чистки кожи. Подходит для всех типов кожи.                             ",4.69,99
www.proficosmetics.ru/catalog/243867/,Маска Энзим очищение 14 мл,620,"Маска Энзим очищение комбинирует структуру очищающего порошка и экстремальную мягкость пенного крема. Экстракты папайи и ананаса расщепляют белок кератин, что способствует удалению отмерших клеток. Папаин снижает выделение себума и выравнивает структуру кожи. Салициловая кислота оказывает...                             ",5.0,4
www.proficosmetics.ru/catalog/28083/,Лосьон для растворения закрытых комедонов / Super Lotion LOTIONS 125 мл,2380,"Бесспиртовой лосьон для размягчения и растворения открытых и закрытых комедонов, выравнивания поверхности и облегчения процедуры чистки кожи. Подходит для всех типов кожи.                             ",4.69,99
www.proficosmetics.ru/catalog/3115977/,Маска порошковая для лица SOS-очищение 80 мл,1650,Порошковая маска для экстра-легкого и бережного очищения жирной и комбинированной кожи. Идеальна для удаления излишков себума и раскрытия пор перед процедурой. Применяется на этапе деликатного очищения и подготовки кожи к дальнейшим процедурам. Как воздействует: - салициловая кислота удаляет...                             ,No rating,No reviews
www.proficosmetics.ru/catalog/157300/,Тоник очищающий для жирной и проблемной кожи лица 200 мл,1053,"Тоник очищающий для жирной и проблемной кожи лица - специальное средство себорегулирующего, антибактериального и противовоспалительного действия для ухода за жирной и проблемной кожей, склонной к акне. Бережно очищает кожу, препятствуя развитию патогенной микрофлоры. Активный комплекс олеаноловой и...                             ",5.0,5
www.proficosmetics.ru/catalog/2415731/,Пенка для умывания с коллоидной серой и экстрактом женьшеня / Anti-Acne Cleansing Foam 150 мл,619,"Мягкая пенка для умывания бережно очищает и тонизирует кожу, поддерживает водный баланс. Коллоидная сера обладает себорегулирующим действием, уменьшает вероятность появления акне и черных точек; поддерживает кислородный баланс кожи, делает ее более эластичной. Благодаря компонентам натурального...                             ",5.0,6
www.proficosmetics.ru/catalog/109914/,Маска Черная жемчужина / A-Clear 90 мл,2265,"Маска Черная жемчужина - активная маска с натуральной грязью Мертвого моря и растительными экстрактами с уникальной текстурой и возможностью разнообразного применения для различных типов кожи. Прекрасно удаляет избыток себума и очищает кожу, освежает цвет лица, обладает видимым подтягивающим и...                             ",5.0,2
www.proficosmetics.ru/catalog/2415730/,Пенка для умывания с муцином улитки и гинкго билоба / Energy Skin Foam 150 мл,619,"Пенка для умывания мягко и эффективно очищает кожу от загрязнений и себума, глубоко очищает поры. Муцин улитки глубоко увлажняет и питает кожу, оказывает мощный антиоксидантный эффект, предотвращая разрушение клеток эпидермиса свободными радикалами. Экстракт гинкго билоба идеально справляется с...                             ",4.75,4
