page_url,drug_name,price,description,rating,num_of_reviews
www.proficosmetics.ru/catalog/134259/,Маска антикупероз для проблемной кожи лица / BLEMISH CONTROL MASK 150 мл,4460,"Маска антикупероз для проблемной кожи лица BLEMISH: CONTROL MASK прекрасно тонизирует сосуды и устраняет отеки, снимает покраснения и выравнивает цвет лица. Сочетание высокоэффективных компонентов и целебных растительных экстрактов интенсивно восстанавливает ослабленную и атоничную кожу, укрепляет...                             ",4.0,2
www.proficosmetics.ru/catalog/3097035/,Сыворотка / T active 30 мл,2060,"Для чувствительной кожи с куперозом и гиперпигментацией. Сыворотка в форме легкого геля мгновенно тает на коже, создавая ощущение комфорта и наполненности, интенсивно увлажняет и способствует сохранению влаги. Оказывает противовоспалительное и антиоксидантное действие, укрепляет сосудистую стенку,...                             ",5.0,2
www.proficosmetics.ru/catalog/72382/,Крем для чувствительной кожи склонной к куперозу 50 мл,730,"Действие: крем предназначен для ухода за чувствительной кожей, склонной к куперозу, повышения ее устойчивости к внешним раздражителям. Регулярное применение крема эффективно выравнивает цвет и рельеф кожи, дарит ощущение комфорта и свежести. Рекомендуется для ухода за кожей, склонной к куперозу и...                             ",4.48,23
www.proficosmetics.ru/catalog/72400/,Тоник для чувствительной кожи склонной к куперозу 100 мл,335,"Действие: предназначен для профессионального и домашнего ухода за чувствительной кожей, склонной к куперозу. Тонизирует, увлажняет кожу, выравнивает цвет лица. Обеспечивает эффективную антиоксидантную защиту. Не имеет ограничений по возрасту и типу кожи. Активные ингредиенты: крапива, конский...                             ",4.71,22
www.proficosmetics.ru/catalog/127513/,Маска суперальгинатная противокуперозная / Perfect Algae Homework 17 г + 50 мл,350,"Пластифицирующая маска для ухода за тонкой чувствительной кожей с выраженной сосудистой сеткой. Богатый комплекс из натуральных компонентов (экстракт конского каштана, листья шалфея, плоды боярышника, ламинария, лимон, чай зелёный, петрушка) нормализует проницаемость капилляров, улучшает...                             ",3.86,7
www.proficosmetics.ru/catalog/152842/,Тонер противокуперозный для лица / Homework Perfect Toner 155 мл,1585,"Тонер противокуперозный для лица Homework Perfect Toner объединяет функции тонизирования и интенсивного ухода (превращает эпидермис в «губку», впитывающую биокомпоненты в глубокие слои кожи). Устраняет дефицит влаги, нейтрализует свободные радикалы. Снимает явления сухости и шелушения,...                             ",1.0,1
www.proficosmetics.ru/catalog/53043/,Тоник-лосьон антикуперозный / LE PRESTIGE 250 мл,3540,"Лосьон для всех типов кожи с нарушением эпидермального барьера и повышенной ломкостью сосудов. Эффективно снижает сосудистую реакцию кожи, уменьшая гиперемию и раздражение. Экстракт черники, входящий в состав средства, укрепляет стенки капилляров, повышает их эластичность, улучшает микроциркуляцию....                             ",4.73,11
www.proficosmetics.ru/catalog/3123594/,Маска корректирующая для чувствительной кожи с куперозом / Couperose Active Mask 200 мл,1150,"Корректирующая маска с выраженным охлаждающим и успокаивающим эффектами разработана для ухода за чувствительной кожей, с признаками купероза. Формула с пантенолом, ниацинамидом и биофлавоноидом экстракта корня солодки способствует сокращению красноты и быстрому восстановлению комфортных ощущений на...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3124170/,Сыворотка укрепляющая сосуды / Matsesta Couperose 30 мл,1152,"Антикуперозная сыворотка устраняет патологию сосудистой стенки, уменьшает проницаемость и хрупкость капилляров, улучшают микроциркуляцию и водно-солевой обмен, оказывает детоксицирующее и противовоспалительное действие. Низкомолекулярная гиалуроновая кислота, витамины и ценные растительные масла...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/43663/,Маска альгинатная успокаивающая антикуперозная Морской бриз 30 г,131,"Альгинатная успокаивающая антикуперозная маска с Черникой, витамином С и Миоксинолом. Основа маски - натуральные морские водоросли и минералы. Черника и витамин С оказывают мягкое комплексное воздействие на кожу лица, с выраженным успокаивающим эффектом. Нормализует пигментацию, восстанавливает...                             ",4.8,11
www.proficosmetics.ru/catalog/914967/,"Крем капилляропротектор для кожи склонной к куперозу, усиленная формула 50 мл",581,"Крем капилляропротектор, усиленная формула, обеспечивает эффективный комплексный уход за кожей, имеющей склонность к куперозу и покраснениям. Обладает выраженным успокаивающим, увлажняющим и восстанавливающим действием. Способствует уменьшению интенсивности покраснения кожи, связанного с наличием...                             ",4.73,11
