page_url,drug_name,price,description,rating,num_of_reviews
www.proficosmetics.ru/catalog/25626/,Маска грязевая / Mud Mask For Oil Skin SOLAR ENERGY 75 мл,3090,"Этот продукт уникален по составу и производимому на кожу эффекту и широко используется не только косметологами, но и дерматологами, в частности, для лечения демодекоза. Благодаря уникальному составу и свойствам маска является панацеей от вечных бед:...                             ",4.73,84
www.proficosmetics.ru/catalog/134265/,Маска себорегулирующая для лица / LUSTER CONTROL MASK 50 мл,1565,"Маска себорегулирующая для лица LUSTER: CONTROL MASK с насыщенной кремовой текстурой и высоким содержанием адсорбирующих компонентов обладает матирующими, себорегулирующими и успокаивающими свойствами. Поддерживает оптимальный уровень увлажнения, восстанавливает защитные функции кожи, препятствует...                             ",5.0,2
www.proficosmetics.ru/catalog/147536/,Паста хлорофилл-каротиновая для лица / Homework 50 мл ,1055,"Паста хлорофилл-каротиновая для лица Homework - препарат для комплексной коррекции угревых высыпаний. Уход за жирной кожей, осложненной угревой сыпью, в т.ч.с таким явлением постакне как застойные пятна (последствие перенесенного акне). Снижает секрецию кожного сала. Устраняет сальные пробки и...                             ",4.33,6
www.proficosmetics.ru/catalog/243867/,Маска Энзим очищение 14 мл,620,"Маска Энзим очищение комбинирует структуру очищающего порошка и экстремальную мягкость пенного крема. Экстракты папайи и ананаса расщепляют белок кератин, что способствует удалению отмерших клеток. Папаин снижает выделение себума и выравнивает структуру кожи. Салициловая кислота оказывает...                             ",5.0,4
www.proficosmetics.ru/catalog/3115977/,Маска порошковая для лица SOS-очищение 80 мл,1650,Порошковая маска для экстра-легкого и бережного очищения жирной и комбинированной кожи. Идеальна для удаления излишков себума и раскрытия пор перед процедурой. Применяется на этапе деликатного очищения и подготовки кожи к дальнейшим процедурам. Как воздействует: - салициловая кислота удаляет...                             ,No rating,No reviews
www.proficosmetics.ru/catalog/109914/,Маска Черная жемчужина / A-Clear 90 мл,2265,"Маска Черная жемчужина - активная маска с натуральной грязью Мертвого моря и растительными экстрактами с уникальной текстурой и возможностью разнообразного применения для различных типов кожи. Прекрасно удаляет избыток себума и очищает кожу, освежает цвет лица, обладает видимым подтягивающим и...                             ",5.0,2
www.proficosmetics.ru/catalog/3063082/,Маска для глубокого очищения Чистая кожа / Protocol 203 100 мл,4800,"Маска Чистая кожа глубоко очищает кожу, удаляет загрязнения и омертвевшие клетки, устраняет чёрные точки, нормализует выработку кожного сала, предотвращает появление жирного блеска, сужает поры. Обладает выраженным противовоспалительным, бактерицидным, увлажняющим и осветляющим свойством. Выводит...                             ",5.0,1
www.proficosmetics.ru/catalog/3114278/,Маска интенсивно очищающая / INTENSE CLEARING MASK 75 мл,3924,"Интенсивно очищающая маска на основе каолина – одна из самых востребованных в уходе за кожей любого типа, в том числе - чувствительной. Незаменимый бьюти-продукт для жирной и проблемной кожи в любом возрасте, must-have для подростков (14 +). Адсорбирует избыток кожного сала и нормализует его...                             ",5.0,1
www.proficosmetics.ru/catalog/1013720/,Маска для лица Глубокое очищение с салициловой кислотой и углем 50 мл,370,"Сбалансированная рецептура маски для лица Глубокое очищение дарит чистоту и сияние, обеспечивает иммунную защиту. Салициловая кислота очищает забитые поры, способствует профилактике появления черных точек и раздражений, борется против несовершенств кожи, выравнивает микрорельеф. Уголь и каолин...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3093639/,Маска рассасывающая для лица с поросуживающим эффектом для жирной и проблемной кожи / Post-Acne Balance Mask 100 мл,465,"Маска разработана для эффективной борьбы с несовершенствами жирной и проблемной кожи, склонной к появлению акне, расширенным порам, избыточному выделению себума, комедонам и постакне. Маска, обладая кератолическим действием, способствует быстрому избавлению от отмерших ороговевших клеток кожи,...                             ",5.0,3
www.proficosmetics.ru/catalog/3115978/,Маска порошковая для лица SOS-очищение 16 мл,620,Порошковая маска для экстра-легкого и бережного очищения жирной и комбинированной кожи. Идеальна для удаления излишков себума и раскрытия пор перед процедурой. Применяется на этапе деликатного очищения и подготовки кожи к дальнейшим процедурам. Как воздействует: - салициловая кислота удаляет...                             ,No rating,No reviews
www.proficosmetics.ru/catalog/119078/,Маска кислородная для лица Сода Ток Ток Клин Пор О2 / Soda Tok Tok Clean Pore Deep O2 Bubble Mask 100 мл,1272,"Маска на основе газированной воды, пищевой соды и чайного дерева создана специально для тщательного очищения и наполнения свежестью и энергией. Устраняет сальный блеск и подсушивает воспаления. Способствует глубокому очищению пор от загрязнений, сокращает количество черных точек и предотвращает...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3052285/,Маска-скраб для лица с углем и гиалуроновой кислотой / SEA THERAPY 75 мл,1657,"Маска-скраб для лица с углем и гиалуроновой кислотой SEA THERAPY - функциональное средство для очищения на ежедневной и регулярной основе «3 в 1». Мягкое очищающее, абсорбирующее и эксфолиирующее действие каолина и угольной пудры с частичками оливковых косточек дополняется выраженным детокс...                             ",5.0,2
www.proficosmetics.ru/catalog/3035699/,Маска-детокс кислородная тканевая Сладкая малина / Funny Organix BUBBLEMANIA 25 г ,195,"Глубоко очищающая маска с экстрактами малины, ванили, листьев зеленого чая, ниацинамидом (В3), пребиотиком и молочным комплексом помогает поддерживать кожу в тонусе, продлевая ее молодость. Средство прекрасно освежает и выравнивает цвет лица, разглаживает, способствуют выведению токсинов, повышению...                             ",5.0,2
www.proficosmetics.ru/catalog/1932905/,Маска угольная тканевая для очищения пор 23 г,85,"Угольная маска для сужения пор имеет несколько основных преимуществ: 1) очищает проблемную кожу и устраняет жирный блеск, 2) выводит токсины и улучшает клеточное дыхание и 3) сужает поры. Содержание древесного угля позволяет тщательно очистить кожу лица, адсорбируя загрязнения,...                             ",5.0,1
www.proficosmetics.ru/catalog/99058/,Полоски для глубокого очищения пор носа / Nose pore cleansing strips,250,"Полоски для глубокого очищения пор носа мгновенно очищают загрязнённые поры и удаляют чёрные точки. Полоски устраняют грязь и секрецию сальных желёз, мешающие порам дышать, делая вашу кожу чистой и гладкой. Вы почувствуете эффект уже после первого применения, а постоянное применение полосок для...                             ",4.44,9
www.proficosmetics.ru/catalog/127516/,Маска суперальгинатная комплексная для жирной кожи / Velour Algae Homework 17 г + 50 мл,310,"Пластифицирующая маска предназначена для комплексного решения проблем жирной кожи. Устраняет жирный блеск, шелушение кожи, черные точки. Противовоспалительное действие оказывает биококтейль из зелёного чая и ромашки. Выраженный себостатический эффект обеспечивают календула, экстракты зверобоя и...                             ",4.67,4
www.proficosmetics.ru/catalog/3096816/,"Маска тканевая для лица, детокс с экстрактом чайного дерева 25 г",75,"Детокс маска предназначена для ухода за проблемной и комбинированной кожей лица. Обладает очищающим, антисептическим и успокаивающим эффектом. Экстракт чайного дерева нормализует выработку кожного себума, очищает поры, препятствует появлению акне и успокаивает кожу. Детокс действие маски дополняет...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/1644493/,Маска очищающая кислородная с муцином черной улитки 100 мл,1946,"Кислородная маска с угольной пудрой и маслом чёрного кунжута деликатно очищает поры от загрязнений, абсорбируя излишки скопившегося себума, пыли и продуктов обмена. Сужает поры, превосходно матирует кожу, предупреждая возникновение жирного блеска. Нормализует секрецию сальных желёз, предотвращая...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/118256/,Программа обновления для проблемной и комбинированной кожи (В) / ESTELARE 28 г,320,"Программа обновления с BHA-кислотой является специально разработанной процедурой, предназначенной для быстрого достижения результатов преображения и омоложения кожи. Эффективно корректирует дефекты кожи: черные точки, тусклый цвет, следы постакне, пигментные пятна, мелкие морщинки. Применяется для...                             ",4.83,6
www.proficosmetics.ru/catalog/3121891/,Маска-пена очищающая для лица / Purifying bubble mask 22 мл,199,"Тканевая маска деликатно очищает кожу лица, удаляет ороговевшие клетки, сужает поры, выравнивает тон и освежает цвет лица. Обладает успокаивающим и заживляющим действием. При взаимодействии с воздухом маска активируется и образует насыщенные кислородные пузырьки. Маска не стягивает кожу,...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/123252/,Полоски с вулканической лавой и бамбуковым углем для носа / ETUDE ORGANIX 5 шт,270,"Полоски содержат экстракты бамбукового угля и вулканической лавы, обладающие отличными абсорбирующими и антисептическими свойствами. Они не только эффективно очищают кожу от черных точек, но и препятствуют появлению новых воспалений и раздражений, сокращают поры и активно предотвращают их...                             ",2.5,2
www.proficosmetics.ru/catalog/3035680/,Маска кислородная антивозрастная тканевая Дикая черника / Funny Organix BUBBLEMANIA 25 г ,195,"Омолаживающая маска с экстрактом черники способствует интенсивному разглаживанию кожи с эффектом лифтинга, увлажнению и выведению токсинов. Благодаря своему сбалансированному составу средство смягчает, питает, способствует выработке коллагена, делает кожу более свежей и подтянутой. Маска содержит...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3035744/,Маска-антиоксидант кислородная тканевая Сочная клубника / Funny Organix BUBBLEMANIA 25 г ,195,"Антиоксидантная маска с экстрактом клубники обладает интенсивным увлажняющим и восстанавливающим действием. Дышащая формула тканевой основы из хлопкового волокна пропускает кислород, позволяя полезным веществам проникать в глубокие слои кожи. При взаимодействии с воздухом маска активизируется и...                             ",4.0,1
www.proficosmetics.ru/catalog/3115257/,Маска-скраб глиняная для проблемной кожи лица Сера и цинк 100 гр,420,"Маска для проблемной кожи содержит биологически активную серу, которая глубоко проникает в сальные фолликулы, регулирует работу сальной железы и снижает воспаление. При этом воспалительные узелки на коже бледнеют, уменьшаются в размере и быстро рассасываются, почти не оставляя пятен. Сера подавляет...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3076836/,Маска очищающая матирующая для лица / EFFACLAR 100 мл,1760,"Очищающая матирующая маска предназначена для ухода за жирной проблемной кожей. Глубоко очищает кожу и поры, заметно сокращая их, абсорбирует излишки кожного сала. При регулярном применении уменьшается выделение себума, кожа длительно сохраняет матовость. Подходит даже для очень чувствительной кожи.                             ",No rating,No reviews
www.proficosmetics.ru/catalog/163064/,Маска тканевая с углем для лица / VISIBLE DIFFERENCE MASK 23 мл,56,"Тканевая маска с углем нормализует работу сальных желез, устраняет излишки кожного жира. Глубоко очищает поры от загрязнений. Лечит очаги воспаления (прыщи и угри). Кожный рельеф заметно разглаживается. Средство поможет быстро вернуть коже шелковистость, подготовит к нанесению макияжа, защитит от...                             ",4.71,7
